id,name,passwordHash,win,draw,loss,pending,rating,totalPoints,gamesPlayed,piecesCaptured,specialMoves
1fd52caa-086a-46ff-801c-3294d8657a23,kartik,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92,0,0,0,0,100,0,0,0,0
1fd52caa-086a-46ff-801c-3294d8657a24,alice,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92,0,0,0,0,100,3,0,0,1
1fd52caa-086a-46ff-801c-3294d8657a25,bob,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92,0,0,0,0,100,1,0,0,0
2ece97c2-eda0-43f3-91ba-79554176f359,neeraj,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92,0,0,0,0,100,0,0,0,0
a73b8f69-d1af-45e4-89b8-152b4e97fb71,玩家,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,0,0,0,0,100,0,0,0,0
5e486ef7-ad0d-44aa-ac5b-6d59cb4ac67b,Joueur,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,0,0,0,0,100,0,0,0,0
7c500cdc-4e19-4a35-a9d6-e544199cc65c,Игрок,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,0,0,0,0,100,0,0,0,0
caa04a3c-ec19-4102-a3e8-d77c30562455,Player@123,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,0,0,0,0,100,0,0,0,0
05dc67aa-3c4f-4ad9-bea0-00ad5e3ac14f,Player-Name,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,0,0,0,0,100,0,0,0,0
b971a390-7fba-4d72-b2d9-3cfbd3f2976b,Player_Name,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,0,0,0,0,100,0,0,0,0
